pid	term	grp	duration
439544	201850	Dropped Out	1
439544	201930	Dropped Out	1
439544	201940	Dropped Out	1
439544	201950	Dropped Out	1
439544	202030	Dropped Out	1
439544	202040	Dropped Out	1
439544	202050	Dropped Out	1
439544	202130	Dropped Out	1
439544	202140	Dropped Out	1
462729	start	Starting Cohort	1
462729	201150	Freshman	1
462729	201230	Freshman	1
462729	201240	Freshman	1
462729	201250	Freshman	1
462729	201330	Sophomore	1
462729	201340	Sophomore	1
462729	201350	Sophomore	1
462729	201430	Junior	1
462729	201440	Junior	1
462729	201450	Senior	1
462729	201530	Senior	1
462729	201540	Sabbatical	1
462729	201550	Sabbatical	1
462729	201630	Graduated	1
462729	201640	Graduated	1
462729	201650	Graduated	1
462729	201730	Graduated	1
462729	201740	Graduated	1
462729	201750	Graduated	1
462729	201830	Graduated	1
462729	201840	Graduated	1
462729	201850	Graduated	1
462729	201930	Graduated	1
462729	201940	Graduated	1
462729	201950	Graduated	1
462729	202030	Graduated	1
462729	202040	Graduated	1
462729	202050	Graduated	1
462729	202130	Graduated	1
462729	202140	Graduated	1
486653	start	Starting Cohort	1
486653	201150	Freshman	1
486653	201230	Freshman	1
486653	201240	Freshman	1
486653	201250	Freshman	1
486653	201330	Sophomore	1
486653	201340	Sophomore	1
486653	201350	Transferred Out	1
486653	201430	Transferred Out	1
486653	201440	Transferred Out	1
486653	201450	Transferred Out	1
486653	201530	Transferred Out	1
486653	201540	Transferred Out	1
486653	201550	Transferred Out	1
486653	201630	Transferred Out	1
486653	201640	Transferred Out	1
486653	201650	Transferred Out	1
486653	201730	Transferred Out	1
486653	201740	Transferred Out	1
486653	201750	Transferred Out	1
486653	201830	Transferred Out	1
486653	201840	Transferred Out	1
486653	201850	Transferred Out	1
486653	201930	Transferred Out	1
486653	201940	Transferred Out	1
486653	201950	Transferred Out	1
486653	202030	Transferred Out	1
486653	202040	Transferred Out	1
486653	202050	Transferred Out	1
486653	202130	Transferred Out	1
486653	202140	Transferred Out	1
502530	start	Starting Cohort	1
502530	201150	Freshman	1
502530	201230	Dropped Out	1
502530	201240	Dropped Out	1
502530	201250	Dropped Out	1
502530	201330	Dropped Out	1
502530	201340	Dropped Out	1
502530	201350	Dropped Out	1
502530	201430	Dropped Out	1
502530	201440	Dropped Out	1
502530	201450	Dropped Out	1
502530	201530	Dropped Out	1
502530	201540	Dropped Out	1
502530	201550	Dropped Out	1
502530	201630	Dropped Out	1
502530	201640	Dropped Out	1
502530	201650	Dropped Out	1
502530	201730	Dropped Out	1
502530	201740	Dropped Out	1
502530	201750	Dropped Out	1
502530	201830	Dropped Out	1
502530	201840	Dropped Out	1
502530	201850	Dropped Out	1
502530	201930	Dropped Out	1
502530	201940	Dropped Out	1
502530	201950	Dropped Out	1
502530	202030	Dropped Out	1
502530	202040	Dropped Out	1
502530	202050	Dropped Out	1
502530	202130	Dropped Out	1
502530	202140	Dropped Out	1
524081	start	Starting Cohort	1
524081	201150	Freshman	1
524081	201230	Freshman	1
524081	201240	Freshman	1
524081	201250	Dropped Out	1
524081	201330	Dropped Out	1
524081	201340	Dropped Out	1
524081	201350	Dropped Out	1
524081	201430	Dropped Out	1
524081	201440	Dropped Out	1
524081	201450	Dropped Out	1
524081	201530	Dropped Out	1
524081	201540	Dropped Out	1
524081	201550	Dropped Out	1
524081	201630	Dropped Out	1
524081	201640	Dropped Out	1
524081	201650	Dropped Out	1
524081	201730	Dropped Out	1
524081	201740	Dropped Out	1
524081	201750	Dropped Out	1
524081	201830	Dropped Out	1
524081	201840	Dropped Out	1
524081	201850	Dropped Out	1
524081	201930	Dropped Out	1
524081	201940	Dropped Out	1
524081	201950	Dropped Out	1
524081	202030	Dropped Out	1
524081	202040	Dropped Out	1
524081	202050	Dropped Out	1
524081	202130	Dropped Out	1
524081	202140	Dropped Out	1
529524	start	Starting Cohort	1
529524	201150	Freshman	1
529524	201230	Sabbatical	1
529524	201240	Freshman	1
529524	201250	Freshman	1
529524	201330	Sabbatical	1
529524	201340	Sabbatical	1
529524	201350	Sabbatical	1
529524	201430	Sabbatical	1
529524	201440	Sabbatical	1
529524	201450	Sabbatical	1
529524	201530	Sabbatical	1
529524	201540	Sabbatical	1
529524	201550	Sabbatical	1
529524	201630	Sabbatical	1
529524	201640	Sabbatical	1
529524	201650	Sabbatical	1
529524	201730	Transferred Out	1
529524	201740	Transferred Out	1
529524	201750	Transferred Out	1
529524	201830	Transferred Out	1
529524	201840	Transferred Out	1
529524	201850	Transferred Out	1
529524	201930	Transferred Out	1
529524	201940	Transferred Out	1
529524	201950	Transferred Out	1
529524	202030	Transferred Out	1
529524	202040	Transferred Out	1
529524	202050	Transferred Out	1
529524	202130	Transferred Out	1
529524	202140	Transferred Out	1
532673	start	Starting Cohort	1
532673	201150	Freshman	1
532673	201230	Freshman	1
532673	201240	Freshman	1
532673	201250	Freshman	1
532673	201330	Freshman	1
532673	201340	Freshman	1
532673	201350	Sophomore	1
532673	201430	Sophomore	1
532673	201440	Sophomore	1
532673	201450	Sophomore	1
532673	201530	Sophomore	1
532673	201540	Junior	1
532673	201550	Junior	1
532673	201630	Junior	1
532673	201640	Junior	1
532673	201650	Junior	1
532673	201730	Senior	1
532673	201740	Senior	1
532673	201750	Graduated	1
532673	201830	Graduated	1
532673	201840	Graduated	1
532673	201850	Graduated	1
532673	201930	Graduated	1
532673	201940	Graduated	1
532673	201950	Graduated	1
532673	202030	Graduated	1
532673	202040	Graduated	1
532673	202050	Graduated	1
532673	202130	Graduated	1
532673	202140	Graduated	1
566964	start	Starting Cohort	1
566964	201150	Freshman	1
566964	201230	Freshman	1
566964	201240	Freshman	1
566964	201250	Sabbatical	1
566964	201330	Sabbatical	1
566964	201340	Transferred Out	1
566964	201350	Transferred Out	1
566964	201430	Transferred Out	1
566964	201440	Transferred Out	1
566964	201450	Transferred Out	1
566964	201530	Transferred Out	1
566964	201540	Transferred Out	1
566964	201550	Transferred Out	1
566964	201630	Transferred Out	1
566964	201640	Transferred Out	1
566964	201650	Transferred Out	1
566964	201730	Transferred Out	1
566964	201740	Transferred Out	1
566964	201750	Transferred Out	1
566964	201830	Transferred Out	1
566964	201840	Transferred Out	1
566964	201850	Transferred Out	1
566964	201930	Transferred Out	1
566964	201940	Transferred Out	1
566964	201950	Transferred Out	1
566964	202030	Transferred Out	1
566964	202040	Transferred Out	1
566964	202050	Transferred Out	1
566964	202130	Transferred Out	1
566964	202140	Transferred Out	1
567666	start	Starting Cohort	1
567666	201150	Freshman	1
567666	201230	Sabbatical	1
567666	201240	Sabbatical	1
567666	201250	Sabbatical	1
567666	201330	Sabbatical	1
567666	201340	Sabbatical	1
567666	201350	Sabbatical	1
567666	201430	Sabbatical	1
567666	201440	Sabbatical	1
567666	201450	Sabbatical	1
567666	201530	Sabbatical	1
567666	201540	Sabbatical	1
567666	201550	Sabbatical	1
567666	201630	Sabbatical	1
567666	201640	Sabbatical	1
567666	201650	Sabbatical	1
567666	201730	Sabbatical	1
567666	201740	Sabbatical	1
567666	201750	Transferred Out	1
567666	201830	Transferred Out	1
567666	201840	Transferred Out	1
567666	201850	Transferred Out	1
567666	201930	Transferred Out	1
567666	201940	Transferred Out	1
567666	201950	Transferred Out	1
567666	202030	Transferred Out	1
567666	202040	Transferred Out	1
567666	202050	Transferred Out	1
567666	202130	Transferred Out	1
567666	202140	Transferred Out	1
629512	start	Starting Cohort	1
629512	201150	Freshman	1
629512	201230	Freshman	1
629512	201240	Freshman	1
629512	201250	Sophomore	1
629512	201330	Sophomore	1
629512	201340	Sabbatical	1
629512	201350	Sabbatical	1
629512	201430	Sabbatical	1
629512	201440	Dropped Out	1
629512	201450	Dropped Out	1
629512	201530	Dropped Out	1
629512	201540	Dropped Out	1
629512	201550	Dropped Out	1
629512	201630	Dropped Out	1
629512	201640	Dropped Out	1
629512	201650	Dropped Out	1
629512	201730	Dropped Out	1
629512	201740	Dropped Out	1
629512	201750	Dropped Out	1
629512	201830	Dropped Out	1
629512	201840	Dropped Out	1
629512	201850	Dropped Out	1
629512	201930	Dropped Out	1
629512	201940	Dropped Out	1
629512	201950	Dropped Out	1
629512	202030	Dropped Out	1
629512	202040	Dropped Out	1
629512	202050	Dropped Out	1
629512	202130	Dropped Out	1
629512	202140	Dropped Out	1
638564	start	Starting Cohort	1
638564	201150	Freshman	1
638564	201230	Freshman	1
638564	201240	Freshman	1
638564	201250	Freshman	1
638564	201330	Freshman	1
638564	201340	Sophomore	1
638564	201350	Sophomore	1
638564	201430	Sophomore	1
638564	201440	Junior	1
638564	201450	Junior	1
638564	201530	Junior	1
638564	201540	Senior	1
638564	201550	Sabbatical	1
638564	201630	Senior	1
638564	201640	Senior	1
638564	201650	Senior	1
638564	201730	Senior	1
638564	201740	Graduated	1
638564	201750	Graduated	1
638564	201830	Graduated	1
638564	201840	Graduated	1
638564	201850	Graduated	1
638564	201930	Graduated	1
638564	201940	Graduated	1
638564	201950	Graduated	1
638564	202030	Graduated	1
638564	202040	Graduated	1
638564	202050	Graduated	1
638564	202130	Graduated	1
638564	202140	Graduated	1
639891	start	Starting Cohort	1
639891	201150	Freshman	1
639891	201230	Dropped Out	1
639891	201240	Dropped Out	1
639891	201250	Dropped Out	1
639891	201330	Dropped Out	1
639891	201340	Dropped Out	1
639891	201350	Dropped Out	1
639891	201430	Dropped Out	1
639891	201440	Dropped Out	1
639891	201450	Dropped Out	1
639891	201530	Dropped Out	1
639891	201540	Dropped Out	1
639891	201550	Dropped Out	1
639891	201630	Dropped Out	1
639891	201640	Dropped Out	1
639891	201650	Dropped Out	1
639891	201730	Dropped Out	1
