pid	term	grp	duration
307624	201730	Senior	1
307624	201740	Senior	1
307624	201750	Graduated	1
307624	201830	Graduated	1
307624	201840	Graduated	1
307624	201850	Graduated	1
307624	201930	Graduated	1
307624	201940	Graduated	1
307624	201950	Graduated	1
307624	202030	Graduated	1
307624	202040	Graduated	1
307624	202050	Graduated	1
307624	202130	Graduated	1
307624	202140	Graduated	1
307644	start	Starting Cohort	1
307644	201150	Freshman	1
307644	201230	Dropped Out	1
307644	201240	Dropped Out	1
307644	201250	Dropped Out	1
307644	201330	Dropped Out	1
307644	201340	Dropped Out	1
307644	201350	Dropped Out	1
307644	201430	Dropped Out	1
307644	201440	Dropped Out	1
307644	201450	Dropped Out	1
307644	201530	Dropped Out	1
307644	201540	Dropped Out	1
307644	201550	Dropped Out	1
307644	201630	Dropped Out	1
307644	201640	Dropped Out	1
307644	201650	Dropped Out	1
307644	201730	Dropped Out	1
307644	201740	Dropped Out	1
307644	201750	Dropped Out	1
307644	201830	Dropped Out	1
307644	201840	Dropped Out	1
307644	201850	Dropped Out	1
307644	201930	Dropped Out	1
307644	201940	Dropped Out	1
307644	201950	Dropped Out	1
307644	202030	Dropped Out	1
307644	202040	Dropped Out	1
307644	202050	Dropped Out	1
307644	202130	Dropped Out	1
307644	202140	Dropped Out	1
311455	start	Starting Cohort	1
311455	201150	Freshman	1
311455	201230	Junior	1
311455	201240	Junior	1
311455	201250	Junior	1
311455	201330	Junior	1
311455	201340	Senior	1
311455	201350	Senior	1
311455	201430	Senior	1
311455	201440	Senior	1
311455	201450	Sabbatical	1
311455	201530	Sabbatical	1
311455	201540	Graduated	1
311455	201550	Graduated	1
311455	201630	Graduated	1
311455	201640	Graduated	1
311455	201650	Graduated	1
311455	201730	Graduated	1
311455	201740	Graduated	1
311455	201750	Graduated	1
311455	201830	Graduated	1
311455	201840	Graduated	1
311455	201850	Graduated	1
311455	201930	Graduated	1
311455	201940	Graduated	1
311455	201950	Graduated	1
311455	202030	Graduated	1
311455	202040	Graduated	1
311455	202050	Graduated	1
311455	202130	Graduated	1
311455	202140	Graduated	1
321923	start	Starting Cohort	1
321923	201150	Freshman	1
321923	201230	Dropped Out	1
321923	201240	Dropped Out	1
321923	201250	Dropped Out	1
