"pid","student_type","cohort","time_status","college_of_major","college_recoded","dept_code","dept_of_major","dept_recoded","major_code","major","ending_coll_code","ending_coll_desc","ending_college_recoded","ending_dept_code","ending_dept_desc","ending_dept_recoded","ending_major_code","ending_major_desc","sex","first_gen_status","race_ethnicity","term_gpa","gpa_bucketed","pell_term","efc","efc_bucketed","start","201150","201230","201240","201250","201330","201340","201350","201430","201440","201450","201530","201540","201550","201630","201640","201650","201730","201740","201750","201830","201840","201850","201930","201940","201950","202030","202040","202050","202130","202140"
870663,"ftf",201150,"UG Part-Time","College Letters Arts Sciences","College Letters Arts Sciences","ART","Art","Art","ART","Art","LA","College Letters Arts Sciences","College Letters Arts Sciences","ART","Art","Art","ART","Art","F","1GN","White",3.5,"2.0+","Not Pell Eligible",20642,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Hiatus","Hiatus","Freshman","Freshman","Sophomore","Sophomore","Sophomore","Sophomore","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
870729,"ftf",201150,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","ART","Art","Art","ART","Art","LA","College Letters Arts Sciences","College Letters Arts Sciences","ART","Art","Art","ART","Art","F","1GN","Hispanic",2.25,"2.0+","Not Pell Eligible",56122,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Sophomore","Sophomore","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
870734,"ftf",201150,"UG Full-Time","College Professional Studies","School of Hospitality","HTE","Hospitality, Tourism, & Events","Hospitality, Tourism, & Events","HTE","Hospitality, Tourism & Events","PS","College Professional Studies","School of Hospitality","HTE","Hospitality, Tourism, & Events","Hospitality, Tourism, & Events","HTE","Hospitality, Tourism & Events","F","1GN","White",2.38,"2.0+","Not Pell Eligible",46134,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Freshman","Sophomore","Sophomore","Sophomore","Sophomore","Junior","Junior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
870818,"ftf",201150,"UG Full-Time","College Professional Studies","College Health Applied Science","IND","Industrial Design","Advanced Manufacturing/Industrial Design","IND","Industrial Design","BU","College of Business","College of Business","MKT","Marketing","Marketing","MKT","Marketing","F","1GN","White",3.67,"2.0+","Pell Eligible",0,"$0 - $3600","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Freshman","Freshman","Sophomore","Sophomore","Sophomore","Transferred Out","Sophomore","Sophomore","Sophomore","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
870838,"ftf",201150,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","SABS","Soc,  Anthro, & Behavr Science","Sociology and Anthropology","SOC","Sociology","BU","College of Business","College of Business","MKT","Marketing","Marketing","MKT","Marketing","M","1GN","White",2.5,"2.0+","Not Pell Eligible",30581,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Sophomore","Hiatus","Hiatus","Sophomore","Sophomore","Junior","Junior","Junior","Junior","Junior","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out","Dropped Out"
871028,"ftf",201150,"UG Full-Time","College of Business","College of Business","MGT","Management","Management","MGT","Management","BU","College of Business","College of Business","MGT","Management","Management","MGT","Management","F","1GN","White",2.23,"2.0+","Not Pell Eligible",26855,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Freshman","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Hiatus","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out","Transferred Out"
871321,"ftf",201150,"UG Full-Time","College Professional Studies","College Health Applied Science","AVS","Aviation & Aerospace Science","Aviation & Aerospace Science","ATV","Aviation Technology","PS","College Professional Studies","College Health Applied Science","AVS","Aviation & Aerospace Science","Aviation & Aerospace Science","ATV","Aviation Technology","M","1GN","White",4,"2.0+","Not Pell Eligible",NA,"Unknown EFC","Starting Cohort","Freshman","Freshman","Freshman","Sophomore","Sophomore","Sophomore","Junior","Junior","Junior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
871460,"ftf",201150,"UG Full-Time","College Letters Arts Sciences","College Letters Arts Sciences","UND","Undeclared","Undeclared","UND","Undeclared","LA","College Letters Arts Sciences","College Letters Arts Sciences","PSY","Psychology","Psychology","PSY","Psychology","F","1GY","White",3,"2.0+","Pell Eligible",4240,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Sophomore","Sophomore","Junior","Junior","Junior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
871480,"ftf",201150,"UG Full-Time","College Professional Studies","School of Hospitality","HTE","Hospitality, Tourism, & Events","Hospitality, Tourism, & Events","HTE","Hospitality, Tourism & Events","PS","College Professional Studies","School of Hospitality","HTE","Hospitality, Tourism, & Events","Hospitality, Tourism, & Events","HTE","Hospitality, Tourism & Events","M","1GN","White",3.25,"2.0+","Not Pell Eligible",14918,"$3600+","Starting Cohort","Freshman","Freshman","Freshman","Sophomore","Sophomore","Sophomore","Junior","Junior","Senior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
871621,"ftf",201150,"UG Part-Time","College Letters Arts Sciences","College Letters Arts Sciences","ART","Art","Art","ART","Art","LA","College Letters Arts Sciences","College Letters Arts Sciences","ART","Art","Art","ART","Art","F","1GN","White",3.33,"2.0+","Pell Eligible",2945,"$0 - $3600","Starting Cohort","Freshman","Freshman","Freshman","Freshman","Sophomore","Sophomore","Sophomore","Junior","Junior","Junior","Junior","Junior","Senior","Senior","Senior","Senior","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated","Graduated"
